AccessionNumber,GeneName,Function
MMAR_0325,treS,involved in trehalose biosynthesis (protective effect). converts maltose to trehalose. mycobacteria can produce trehalose from glucose 6-phosphate and UDP-glucose (the OtsA-OtsB pathway) from glycogen-like alpha(1-->4)-linked glucose polymers (the TreY-TreZ pathway) and from maltose (the TreS pathway).
MMAR_3869,mce5F,"this family of proteins contains the Mce (mycobacterial cell entry) proteins from mycobacterium tuberculosis. the archetype (Rv0169), was isolated as being necessary for colonisation of, and survival within, the macrophage. this family contains proteins of unknown function from other bacteria."
MMAR_3865,mce5B,"this family of proteins contains the Mce (mycobacterial cell entry) proteins from mycobacterium tuberculosis. the archetype (Rv0169), was isolated as being necessary for colonisation of, and survival within, the macrophage. this family contains proteins of unknown function from other bacteria."
MMAR_3866,mce5C,"this family of proteins contains the Mce (mycobacterial cell entry) proteins from mycobacterium tuberculosis. the archetype (Rv0169), was isolated as being necessary for colonisation of, and survival within, the macrophage. this family contains proteins of unknown function from other bacteria."
MMAR_3868,mce5E,"this family of proteins contains the Mce (mycobacterial cell entry) proteins from mycobacterium tuberculosis. the archetype (Rv0169), was isolated as being necessary for colonisation of, and survival within, the macrophage. this family contains proteins of unknown function from other bacteria."
MMAR_3864,mce5A,"this family of proteins contains the Mce (mycobacterial cell entry) proteins from mycobacterium tuberculosis. the archetype (Rv0169), was isolated as being necessary for colonisation of, and survival within, the macrophage. this family contains proteins of unknown function from other bacteria."
MMAR_0747,sodC,
MMAR_5396,sodA,
MMAR_0912,hspX,
MMAR_1124,gcp,
MMAR_5497,alaU,
MMAR_5520,argV,
MMAR_5525,argT,
MMAR_5513,argW,
MMAR_5498,glnU,
MMAR_5499,gluU,
MMAR_5512,glyV,
MMAR_5506,leuU,
MMAR_5529,lysT,
MMAR_5493,metT,
MMAR_5532,proY,
MMAR_5505,proT,
MMAR_5533,selC,
MMAR_5534,serV,
MMAR_5492,thrT,
MMAR_5530,thrV,
MMAR_5494,trpT,
MMAR_5503,valT,
MMAR_2653,MMAR_2653,
MMAR_2652,MMAR_2652,
MMAR_3057,MMAR_3057,
MMAR_1697,mmpL4_9,
MMAR_4108,MMAR_4108,
MMAR_4844,MMAR_4844,
MMAR_1436,MMAR_1436,
MMAR_5539,MMAR_5539,
MMAR_3463,MMAR_3463,
MMAR_3131,MMAR_3131,
MMAR_3172,MMAR_3172,
MMAR_3269,MMAR_3269,
MMAR_3788,MMAR_3788,
MMAR_2540,MMAR_2540,
MMAR_3062,MMAR_3062,
MMAR_2544,MMAR_2544,
MMAR_3462,MMAR_3462,
MMAR_3781,MMAR_3781,
MMAR_3783,MMAR_3783,
MMAR_2808,MMAR_2808,
MMAR_3531,MMAR_3531,
MMAR_1060,adh_1,
MMAR_2034,dxs1A,"involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoidbiosynthesis (at the first step), and in the biosynthetic pathway to thiamine and pyridoxol (at the first step). catalyzes the acyloin condensation reaction between atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)."
MMAR_2909,MMAR_2909,
MMAR_2894,MMAR_2894,
MMAR_3427,MMAR_3427,
MMAR_3467,MMAR_3467,
MMAR_5118,PE32,
MMAR_0370,MMAR_0370,
MMAR_4321,MMAR_4321,
MMAR_1538,PE26,
MMAR_3003,MMAR_3003,
MMAR_5122,MMAR_5122,
MMAR_5286,PE34,
MMAR_5563,MMAR_5563,
MMAR_1162,MMAR_1162,
MMAR_1207,MMAR_1207,
MMAR_1208,MMAR_1208,
MMAR_4560,MMAR_4560,
MMAR_4602,MMAR_4602,
MMAR_3105,MMAR_3105,
MMAR_4786,MMAR_4786,
MMAR_1601,MMAR_1601,
MMAR_5038,MMAR_5038,
MMAR_3402,MMAR_3402,
MMAR_3424,PE_PGRS22,
MMAR_5044,MMAR_5044,
MMAR_5099,MMAR_5099,
MMAR_2010,MMAR_2010,
MMAR_2033,MMAR_2033,
MMAR_0431,MMAR_0431,
MMAR_2116,MMAR_2116,
MMAR_3816,PE_PGRS59,
MMAR_2274,MMAR_2274,
MMAR_0755,MMAR_0755,
MMAR_0806,MMAR_0806,
MMAR_2481,MMAR_2481,
MMAR_4109,MMAR_4109,
MMAR_4116,MMAR_4116,
MMAR_4287,MMAR_4287,
MMAR_4316,MMAR_4316,
MMAR_4407,MMAR_4407,
MMAR_4562,MMAR_4562,
MMAR_2970,MMAR_2970,
MMAR_4149,MMAR_4149,
MMAR_2097,PE_PGRS33,
MMAR_4561,MMAR_4561,
MMAR_4127,MMAR_4127,
MMAR_3199,MMAR_3199,
MMAR_2053,MMAR_2053,
MMAR_2248,MMAR_2248,
MMAR_0943,MMAR_0943,
MMAR_1391,PE_PGRS9,
MMAR_1850,MMAR_1850,
MMAR_1851,PE_PGRS,
MMAR_4953,MMAR_4953,
MMAR_5321,MMAR_5321,
MMAR_4377,MMAR_4377,
MMAR_0837,MMAR_0837,
MMAR_1442,MMAR_1442,
MMAR_3763,MMAR_3763,
MMAR_3008,MMAR_3008,
MMAR_3550,PE_PGRS39,
MMAR_2112,MMAR_2112,
MMAR_2113,MMAR_2113,
MMAR_3990,MMAR_3990,
MMAR_1161,MMAR_1161,
MMAR_5294,MMAR_5294,
MMAR_2490,MMAR_2490,
MMAR_2492,MMAR_2492,
MMAR_2709,MMAR_2709,
MMAR_2695,MMAR_2695,
MMAR_1195,MMAR_1195,
MMAR_1094,MMAR_1094,
MMAR_2806,MMAR_2806,
MMAR_4606,MMAR_4606,
MMAR_4621,MMAR_4621,
MMAR_3002,MMAR_3002,
MMAR_1514,PPE51_1,
MMAR_1550,MMAR_1550,
MMAR_4914,MMAR_4914,
MMAR_3378,MMAR_3378,
MMAR_3379,MMAR_3379,
MMAR_3465,PPE51_3,
MMAR_5117,PPE65,
MMAR_1845,MMAR_1845,
MMAR_1847,MMAR_1847,
MMAR_1849,MMAR_1849,
MMAR_3546,PPE5,
MMAR_3664,MMAR_3664,
MMAR_3665,MMAR_3665,
MMAR_5277,MMAR_5277,
MMAR_5331,MMAR_5331,
MMAR_5417,MMAR_5417,
MMAR_3989,PPE2,
MMAR_0685,MMAR_0685,
MMAR_0787,MMAR_0787,
MMAR_2534,MMAR_2534,
MMAR_4218,MMAR_4218,
MMAR_4266,MMAR_4266,
MMAR_4346,MMAR_4346,
MMAR_2944,MMAR_2944,
MMAR_4241,PE31,
MMAR_4240,PPE18,
MMAR_2516,MMAR_2516,
MMAR_1095,MMAR_1095,
MMAR_2517,PPE23,
MMAR_2822,MMAR_2822,
MMAR_1027,MMAR_1027,
MMAR_1461,MMAR_1461,
MMAR_1460,MMAR_1460,
MMAR_3661,MMAR_3661,
MMAR_3666,MMAR_3666,
MMAR_3006,MMAR_3006,
MMAR_4324,PPE49,
MMAR_1513,PPE51,
MMAR_0641,MMAR_0641,
MMAR_4554,MMAR_4554,
MMAR_1130,MMAR_1130,
MMAR_0926,MMAR_0926,
MMAR_5121,MMAR_5121,
MMAR_3005,MMAR_3005,
MMAR_4278,MMAR_4278,
MMAR_3028,ppm1B,
MMAR_1101,eccD4,
MMAR_5458,eccE1,
MMAR_3000,esxR,
MMAR_5465,esxE,
MMAR_5466,esxF,
MMAR_3001,esxG_1,
MMAR_5119,esxN_2,
MMAR_3653,esxN_3,
MMAR_3659,esxN_4,
MMAR_3662,esxN_5,
MMAR_5120,esxP_1,
MMAR_3654,esxP_2,
MMAR_3660,esxP_3,
MMAR_3663,esxP_4,
MMAR_2483,MMAR_2483,
MMAR_2187,MMAR_2187,
MMAR_2572,MMAR_2572,
MMAR_4980,MMAR_4980,
MMAR_1345,MMAR_1345,
MMAR_1803,lppW,
MMAR_4635,MMAR_4635,
MMAR_4981,MMAR_4981,
MMAR_1731,MMAR_1731,
MMAR_5145,MMAR_5145,
MMAR_4644,MMAR_4644,
MMAR_4345,MMAR_4345,
MMAR_3722,lppR,
MMAR_3723,lppR_1,
MMAR_3735,comEC,
MMAR_1096,MMAR_1096,
MMAR_1128,MMAR_1128,
MMAR_2780,MMAR_2780,
MMAR_2788,MMAR_2788,
MMAR_2803,MMAR_2803,
MMAR_2804,MMAR_2804,
MMAR_2809,MMAR_2809,
MMAR_4417,MMAR_4417,
MMAR_4435,MMAR_4435,
MMAR_4499,MMAR_4499,
MMAR_4686,MMAR_4686,
MMAR_4687,MMAR_4687,
MMAR_4697,MMAR_4697,
MMAR_4698,MMAR_4698,
MMAR_3059,MMAR_3059,
MMAR_3060,MMAR_3060,
MMAR_3145,MMAR_3145,
MMAR_1533,MMAR_1533,
MMAR_1540,MMAR_1540,
MMAR_1581,MMAR_1581,
MMAR_3300,MMAR_3300,
MMAR_3364,MMAR_3364,
MMAR_5098,MMAR_5098,
MMAR_1846,MMAR_1846,
MMAR_1848,MMAR_1848,
MMAR_3506,MMAR_3506,
MMAR_3528,MMAR_3528,
MMAR_3538,MMAR_3538,
MMAR_5177,MMAR_5177,
MMAR_5180,MMAR_5180,
MMAR_5227,MMAR_5227,
MMAR_3629,MMAR_3629,
MMAR_5408,MMAR_5408,
MMAR_3860,MMAR_3860,
MMAR_3878,MMAR_3878,
MMAR_2245,MMAR_2245,
MMAR_4041,MMAR_4041,
MMAR_4202,MMAR_4202,
MMAR_0877,MMAR_0877,
MMAR_0945,MMAR_0945,
MMAR_0963,MMAR_0963,
MMAR_2630,MMAR_2630,
MMAR_4329,MMAR_4329,
MMAR_2748,MMAR_2748,
MMAR_2870,MMAR_2870,
MMAR_3035,MMAR_3035,
MMAR_4711,MMAR_4711,
MMAR_4712,MMAR_4712,
MMAR_3282,MMAR_3282,
MMAR_4973,MMAR_4973,
MMAR_3435,MMAR_3435,
MMAR_3450,MMAR_3450,
MMAR_5129,MMAR_5129,
MMAR_3774,MMAR_3774,
MMAR_2105,MMAR_2105,
MMAR_2588,MMAR_2588,
MMAR_0947,MMAR_0947,
MMAR_0552,MMAR_0552,
MMAR_0818,MMAR_0818,
MMAR_0858,MMAR_0858,
MMAR_0887,MMAR_0887,
MMAR_1008,MMAR_1008,
MMAR_4281,MMAR_4281,
MMAR_4207,MMAR_4207,
MMAR_3552,MMAR_3552,
MMAR_2238,MMAR_2238,
MMAR_2382,MMAR_2382,
MMAR_2427,MMAR_2427,
MMAR_2446,MMAR_2446,
MMAR_3501,MMAR_3501,
MMAR_3184,MMAR_3184,
MMAR_3204,MMAR_3204,
MMAR_3770,MMAR_3770,
MMAR_3835,MMAR_3835,
MMAR_2016,MMAR_2016,
MMAR_2004,MMAR_2004,
MMAR_1734,MMAR_1734,
MMAR_4964,MMAR_4964,
MMAR_4965,MMAR_4965,
MMAR_5143,MMAR_5143,
MMAR_5146,MMAR_5146,
MMAR_5204,MMAR_5204,
MMAR_5278,MMAR_5278,
MMAR_4623,MMAR_4623,
MMAR_4605,MMAR_4605,
MMAR_3399,MMAR_3399,
MMAR_4406,MMAR_4406,
MMAR_2106,MMAR_2106,
MMAR_4416,MMAR_4416,
MMAR_4495,MMAR_4495,
MMAR_2891,MMAR_2891,
MMAR_4701,MMAR_4701,
MMAR_1752,MMAR_1752,
MMAR_3613,MMAR_3613,
MMAR_2054,MMAR_2054,
MMAR_3811,MMAR_3811,
MMAR_4005,MMAR_4005,
MMAR_4124,MMAR_4124,
MMAR_2535,MMAR_2535,
MMAR_2554,MMAR_2554,
MMAR_2569,MMAR_2569,
MMAR_2953,MMAR_2953,
MMAR_1570,MMAR_1570,
MMAR_4494,MMAR_4494,
MMAR_4485,MMAR_4485,
MMAR_4028,MMAR_4028,
MMAR_3233,MMAR_3233,
MMAR_3234,MMAR_3234,
MMAR_3963,MMAR_3963,
MMAR_1911,MMAR_1911,
MMAR_3485,MMAR_3485,
MMAR_1149,MMAR_1149,
MMAR_5216,MMAR_5216,
MMAR_5220,MMAR_5220,
MMAR_3855,MMAR_3855,
MMAR_0953,MMAR_0953,
MMAR_4544,MMAR_4544,
MMAR_2264,MMAR_2264,
MMAR_3243,MMAR_3243,
MMAR_0577,MMAR_0577,
MMAR_4767,MMAR_4767,
MMAR_3804,MMAR_3804,
MMAR_1717,MMAR_1717,
MMAR_3370,MMAR_3370,
MMAR_4690,MMAR_4690,
MMAR_2769,lppE,
MMAR_3872,lppS,
MMAR_2220,lprG,
MMAR_0949,lppF,
MMAR_0950,lpqN,
MMAR_2155,MMAR_2155,
MMAR_2802,MMAR_2802,
MMAR_4508,MMAR_4508,
MMAR_1543,MMAR_1543,
MMAR_5097,MMAR_5097,
MMAR_2562,MMAR_2562,
MMAR_2613,MMAR_2613,
MMAR_2632,MMAR_2632,
MMAR_3543,MMAR_3543,
MMAR_2296,MMAR_2296,
MMAR_4330,MMAR_4330,
MMAR_0565,MMAR_0565,
MMAR_0804,MMAR_0804,
MMAR_2301,MMAR_2301,
MMAR_2712,MMAR_2712,
MMAR_3077,MMAR_3077,
MMAR_3615,MMAR_3615,
MMAR_4961,MMAR_4961,
MMAR_5087,MMAR_5087,
MMAR_5108,MMAR_5108,
MMAR_1723,mmpS1,
MMAR_3242,mmpS3,
MMAR_3175,mmpS4,
MMAR_0772,mmpS4_2,
MMAR_3189,yfiH,
MMAR_3201,MMAR_3201,
MMAR_4655,MMAR_4655,
MMAR_4384,MMAR_4384,
MMAR_3616,MMAR_3616,
MMAR_1546,MMAR_1546,
MMAR_0777,MMAR_0777,
MMAR_2594,MMAR_2594,
MMAR_1178,MMAR_1178,
MMAR_2047,MMAR_2047,
MMAR_1405,MMAR_1405,
MMAR_2491,MMAR_2491,
MMAR_2595,MMAR_2595,
MMAR_2553,MMAR_2553,
MMAR_3637,narK1,
MMAR_2079,narK3,
MMAR_4267,narK3_1,
MMAR_0521,narK3_2,
MMAR_4265,narK3_4,
MMAR_4785,MMAR_4785,
MMAR_5192,MMAR_5192,
MMAR_5101,lsr2,
MMAR_5467,lppJ,
MMAR_3638,lppP,
MMAR_1691,lpqA,
MMAR_1362,lpqQ,
MMAR_4769,lpqS,
MMAR_4146,lprB,
MMAR_4145,lprC,
MMAR_2364,lprL,
MMAR_3688,cfp2,
MMAR_1708,cfp6,
MMAR_1834,mpt70,
MMAR_3630,MMAR_3630,
MMAR_5093,ppm1_2,
MMAR_4389,pra,
MMAR_5481,parB,
MMAR_3736,comEA,
MMAR_1873,hoxN,
MMAR_2923,MMAR_2923,
MMAR_1706,lppZ,
MMAR_1500,MMAR_1500,
MMAR_1855,MMAR_1855,
MMAR_1757,MMAR_1757,
MMAR_3775,MMAR_3775,
MMAR_4383,MMAR_4383,
MMAR_5371,MMAR_5371,
MMAR_2583,MMAR_2583,
MMAR_2320,wecE,
MMAR_1679,MMAR_1679,
MMAR_3324,MMAR_3324,
MMAR_2552,MMAR_2552,
MMAR_2998,MMAR_2998,
MMAR_2006,MMAR_2006,
MMAR_4580,phoS2,
MMAR_4863,phoS3,
MMAR_0891,pitA,
MMAR_4862,pstC2_1,
MMAR_1366,MMAR_1366,
MMAR_4860,phoT,
MMAR_5125,mesJ,
MMAR_1448,MMAR_1448,
MMAR_0264,ctpA,
MMAR_0269,ctpB,
MMAR_2536,MMAR_2536,
MMAR_0231,ctpA_1,
MMAR_0740,ctpH,
MMAR_4622,ctpE,
MMAR_1271,ctpC,
MMAR_3503,MMAR_3503,
MMAR_0297,ctpI,
MMAR_1228,ctpH_1,
MMAR_4787,MMAR_4787,
MMAR_3198,murE,
MMAR_2476,MMAR_2476,
MMAR_0922,MMAR_0922,
MMAR_3830,MMAR_3830,
MMAR_3263,MMAR_3263,
MMAR_2486,MMAR_2486,
MMAR_2263,MMAR_2263,
MMAR_5151,dppD,
MMAR_1173,MMAR_1173,
MMAR_1174,MMAR_1174,
MMAR_3626,MMAR_3626,
MMAR_0752,MMAR_0752,
MMAR_4037,MMAR_4037,
MMAR_2485,MMAR_2485,
MMAR_3262,MMAR_3262,
MMAR_2696,MMAR_2696,
MMAR_3283,MMAR_3283,
MMAR_3284,MMAR_3284,
MMAR_4036,MMAR_4036,
MMAR_3715,cysA1,
MMAR_3011,MMAR_3011,
MMAR_4203,sugC,
MMAR_3190,ftsZ,
MMAR_2772,MMAR_2772,
MMAR_4479,rpfB,
MMAR_2839,MMAR_2839,
MMAR_4800,lpqR,
MMAR_3185,wag31,
MMAR_0767,MMAR_0767,
MMAR_3013,MMAR_3013,
MMAR_0333,MMAR_0333,
MMAR_1554,MMAR_1554,
MMAR_1190,nagA,
MMAR_5127,dacB1,
MMAR_1797,dacB,
MMAR_1192,dacC,
MMAR_4404,MMAR_4404,
MMAR_4288,lpqW,
MMAR_4196,lpqZ,
MMAR_5154,dppA,
MMAR_3014,MMAR_3014,
MMAR_4206,lpqY,
MMAR_0925,nhaP,
MMAR_0353,MMAR_0353,
MMAR_1650,fecB,
MMAR_0525,MMAR_0525,
MMAR_3814,dctA,
MMAR_3477,MMAR_3477,
MMAR_3481,MMAR_3481,
MMAR_2993,MMAR_2993,
MMAR_3194,ftsW,
MMAR_0496,MMAR_0496,
MMAR_3108,MMAR_3108,
MMAR_3295,MMAR_3295,
MMAR_3297,MMAR_3297,
MMAR_2136,MMAR_2136,
MMAR_3313,MMAR_3313,
MMAR_3426,MMAR_3426,
MMAR_0857,MMAR_0857,
MMAR_2842,MMAR_2842,
MMAR_2055,arsC,
MMAR_3200,pbpB,
MMAR_3359,MMAR_3359,
MMAR_3249,MMAR_3249,
MMAR_0080,coxL_2,
MMAR_0770,MMAR_0770,
MMAR_2334,MMAR_2334,
MMAR_2773,MMAR_2773,
MMAR_4516,MMAR_4516,
MMAR_2428,cya,
MMAR_4438,MMAR_4438,
MMAR_4370,MMAR_4370,
MMAR_3625,MMAR_3625,
MMAR_5482,parA,
MMAR_4578,pstA1,
MMAR_4861,pstA,
MMAR_3716,cysW,
MMAR_3717,cysT,
MMAR_0061,glnQ,
MMAR_4637,ompA,
MMAR_2206,MMAR_2206,
MMAR_2029,arsB1,
MMAR_2797,nanT,
MMAR_1093,cycA,
MMAR_4201,gabP_1,
MMAR_4815,ansP1,
MMAR_2052,MMAR_2052,
MMAR_2243,MMAR_2243,
MMAR_3621,rocE,
MMAR_3554,MMAR_3554,
MMAR_2246,secG,
MMAR_1266,sulP_2,
MMAR_4094,MMAR_4094,
MMAR_3754,MMAR_3754,
MMAR_3031,MMAR_3031,
MMAR_3186,MMAR_3186,
MMAR_3756,MMAR_3756,
MMAR_4311,MMAR_4311,
MMAR_2262,MMAR_2262,
MMAR_2614,MMAR_2614,
MMAR_5059,MMAR_5059,
MMAR_1212,MMAR_1212,
MMAR_2857,MMAR_2857,
MMAR_2380,MMAR_2380,
MMAR_4962,MMAR_4962,
MMAR_1990,MMAR_1990,
MMAR_4518,MMAR_4518,
MMAR_1419,MMAR_1419,
MMAR_5454,MMAR_5454,
MMAR_2319,MMAR_2319,
MMAR_4378,MMAR_4378,
MMAR_4379,MMAR_4379,
MMAR_4515,MMAR_4515,
MMAR_2141,MMAR_2141,
MMAR_2323,MMAR_2323,
MMAR_1009,MMAR_1009,
MMAR_4616,MMAR_4616,
MMAR_4394,MMAR_4394,
MMAR_2352,MMAR_2352,
MMAR_4816,MMAR_4816,
MMAR_1754,MMAR_1754,
MMAR_1113,MMAR_1113,
MMAR_5395,MMAR_5395,
MMAR_1890,MMAR_1890,
MMAR_5369,MMAR_5369,
MMAR_2179,MMAR_2179,
MMAR_2439,MMAR_2439,
MMAR_4292,MMAR_4292,
MMAR_0423,MMAR_0423,
MMAR_0475,MMAR_0475,
MMAR_4545,MMAR_4545,
MMAR_3241,MMAR_3241,
MMAR_2043,MMAR_2043,
MMAR_3034,MMAR_3034,
MMAR_5107,MMAR_5107,
MMAR_1006,mmpS5,
MMAR_1673,MMAR_1673,
MMAR_3264,MMAR_3264,
MMAR_3266,MMAR_3266,
MMAR_0704,mmpL1,
MMAR_0442,mmpL11,
MMAR_4305,mmpL13,
MMAR_1722,mmpL1_1,
MMAR_0446,mmpL3,
MMAR_0771,mmpL5_2,
MMAR_1764,mmpL7,
MMAR_4429,MMAR_4429,
MMAR_2342,MMAR_2342,
MMAR_1005,mmpL5,
MMAR_1877,mmpL5_1,
MMAR_0094,mmpL5_3,
MMAR_2307,MMAR_2307,
MMAR_4059,MMAR_4059,
MMAR_2166,MMAR_2166,
MMAR_3079,tatC,
MMAR_4650,MMAR_4650,
MMAR_2063,dedA,
MMAR_1259,MMAR_1259,
MMAR_5370,MMAR_5370,
MMAR_0921,MMAR_0921,
MMAR_2716,MMAR_2716,
MMAR_3676,MMAR_3676,
MMAR_1590,MMAR_1590,
MMAR_1589,MMAR_1589,
MMAR_0765,MMAR_0765,
MMAR_5153,dppB,
MMAR_5152,dppC,
MMAR_3012,MMAR_3012,
MMAR_4205,sugA,
MMAR_4204,sugB,
MMAR_2261,MMAR_2261,
MMAR_0729,MMAR_0729,
MMAR_0093,ermB,
MMAR_4238,MMAR_4238,
MMAR_3174,mmpL4_5,
MMAR_4750,MMAR_4750,
MMAR_2995,MMAR_2995,
MMAR_4095,rfe,
MMAR_5094,MMAR_5094,
MMAR_3642,MMAR_3642,
MMAR_2515,MMAR_2515,
MMAR_1146,MMAR_1146,
MMAR_1080,MMAR_1080,
MMAR_5485,MMAR_5485,
MMAR_2389,MMAR_2389,
MMAR_5161,MMAR_5161,
MMAR_3029,ppm1A,
MMAR_3354,lnt,
MMAR_4771,MMAR_4771,
MMAR_5366,MMAR_5366,
MMAR_2419,cut1,
MMAR_4480,tatD,
MMAR_2843,MMAR_2843,
MMAR_3371,MMAR_3371,
MMAR_4083,murA,
MMAR_3102,MMAR_3102,
MMAR_3718,subI,
MMAR_3050,blaC,
MMAR_2405,cphB,
MMAR_3382,MMAR_3382,
MMAR_2934,cfp21,
MMAR_2908,MMAR_2908,
MMAR_1098,cut3,
MMAR_1097,cut4,
MMAR_0817,MMAR_0817,
MMAR_3024,MMAR_3024,
MMAR_3191,ftsQ,
MMAR_4558,MMAR_4558,
MMAR_3141,MMAR_3141,
MMAR_2406,MMAR_2406,"contains Mur ligase family catalytic domain. this family contains a number of related ligase enzymes (MurC, MurD, MurE, MurF, MPL and FolC). MurC, MurD, MurE and MurF catalyse consecutive steps in the synthesis of peptidoglycan. peptidoglycan consists of a sheet of two sugar derivatives, with one of these N-acetylmuramic acid attaching to a small pentapeptide. the pentapeptide is is made of L-alanine, D-glutamic acid, meso-diaminopimelic acid and D-alanyl alanine. the peptide moiety is synthesised by successively adding these amino acids to UDP-N-acetylmuramic acid. MurC transfers the L-alanine, MurD transfers the D-glutamate, MurE transfers the diaminopimelic acid, and MurF transfers the D-alanyl alanine. this family also includes folylpolyglutamate synthase that transfers glutamate to folylpolyglutamate."
MMAR_2424,cydD,involved in active transport across the membrane of component linked with the assembly of cytochrome: involved in cytochrome biogenesis (aerobic respiration). responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.
MMAR_2423,cydC,involved in active transport across the membrane of component linked with the assembly of cytochrome: involved in cytochrome biogenesis (aerobic respiration). responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.
MMAR_4974,pstB,involved in active transport of inorganic phosphate across the membrane (import); responsible for energy coupling to the transport system. this is one of the proteins required for binding-protein-mediated phosphate transport. have ATP-binding ability and ATPase activity.
MMAR_5367,fbpD,"involved in cell wall mycoloylation. proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor), a dominant structure necessary for maintaining cell wall integrity."
MMAR_5368,fbpA,"involved in cell wall mycoloylation. proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor), a dominant structure necessary for maintaining cell wall integrity."
MMAR_5095,idsA1,"involved in the biosynthesis of membrane ether-linked lipids. catalyzes the trans-addition of the three molecules of IPP onto DMAPP to form geranylgeranyl pyrophosphate which is a precursor of the ether-linked lipids [catalytic activity1: dimethylallyl diphosphate + isopentenyl diphosphate = diphosphate + geranyl diphosphate] [catalytic activity2: geranyl diphosphate + isopentenyl diphosphate = diphosphate + trans,trans-farnesyl diphosphate] [catalytic activity3: trans-trans-farnesyl diphosphate + isopentenyl diphosphate = diphosphate + geranylgeranyl diphosphate]"
MMAR_2426,cydA,involved in the respiratory chain (at the terminal step): aerobic respiration. cytochrome D terminal oxidase complex is the component of the aerobic respiratory chain that is supposed predominated when cells are grown at low aeration [catalytic activity: ubiquinol-8 + O(2) = ubiquinone-8 + H(2)O].
MMAR_2425,cydB,involved in the respiratory chain (at the terminal step): aerobic respiration. cytochrome D terminal oxidase complex is the component of the aerobic respiratory chain that is supposed predominated when cells are grown at low aeration [catalytic activity: ubiquinol-8 + O(2) = ubiquinone-8 + H(2)O].
MMAR_3671,uppS,"involved in the synthesis of decaprenyl diphosphate, a molecule which has a central role in the biosynthesis of most features of the mycobacterial cell wall. adds seven more isoprene units to omega,E, Z-farnesyl diphosphate and releases decaprenyl diphosphate."
MMAR_2219,MMAR_2219,involved in transport of aminoglycosides and tetracycline across the membrane (export): drug resistance by an export mechanism (conferes resistance to toxic compounds by removing them for the cells). responsible for the translocation of the substrate across the membrane.
MMAR_1612,mmr,"involved in transport of multidrugs (tetraphenylphosphonium, erythromycin, ethidium bromide, acriflavine, safranin O, pyronin Y, etc) across the membrane (export): multidrugs resistance by an export mechanism (conferes resistance to toxic compounds by removing them for the cells). responsible for the translocation of the substrate across the membrane."
MMAR_4949,MMAR_4949,"permease family. this family includes permeases for diverse substrates such as xanthine, uracil and vitamin C. however many members of this family are functionally uncharacterised and may transport other substrates. members of this family have ten predicted transmembrane helices."
MMAR_1771,drrA,"probably involved in active transport of antibiotic and phthiocerol dimycocerosate (dim) across the membrane (export). DrrA, DrrB and DrrC may act jointly to confer daunorubicin and doxorubicin resistance by an export mechanism. responsible for energy coupling to the transport system."
